cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020630810,995,183,18.39
020630811,639,107,16.74
020630812,824,136,16.5
020630813,621,112,18.04
020630901,876,114,13.01
020630902,927,165,17.8
020630903,1147,198,17.26
020630904,652,131,20.09
020630905,780,141,18.08
020630906,996,179,17.97
020630907,942,171,18.15
020630908,565,120,21.24
020630909,766,133,17.36
020630910,851,160,18.8
020630911,764,160,20.94
020630912,801,158,19.73
020630913,620,97,15.65
020630914,907,160,17.64
020631001,887,160,18.04
020631002,926,164,17.71
020631003,943,155,16.44
020631004,739,136,18.4
020631005,894,162,18.12
020631006,754,120,15.92
020631007,700,131,18.71
020631008,884,193,21.83
020631009,511,94,18.4
020631010,756,155,20.5
020631011,558,105,18.82
020631012,498,111,22.29
020631101,1016,197,19.39
020631102,1076,171,15.89
020631103,792,130,16.41
020631104,1237,207,16.73
020631105,882,155,17.57
020631106,821,163,19.85
020631107,969,163,16.82
020631108,858,173,20.16
020631109,1060,170,16.04
020631110,862,145,16.82
020631111,830,156,18.8
020631112,1060,182,17.17
020631201,1033,174,16.84
020631202,531,89,16.76
020631203,732,103,14.07
020631204,813,161,19.8
020631205,817,129,15.79
020631206,800,153,19.12
020631207,744,124,16.67
020631208,952,186,19.54
020631209,843,156,18.51
020631210,1363,192,14.09
020631211,795,141,17.74
020631212,713,103,14.45
020631301,904,164,18.14
020631302,1359,208,15.31
020631303,1058,178,16.82
020631304,963,178,18.48
020631305,1403,197,14.04
020631306,1206,151,12.52
020631307,1545,159,10.29
020631401,1305,223,17.09
020631402,1066,173,16.23
020631403,1095,148,13.52
020631404,902,92,10.2
020631405,1034,70,6.77
020631406,555,36,6.49
020631407,1493,126,8.44
020631408,671,55,8.2
020631409,1335,151,11.31
020631410,701,55,7.85
020631411,808,43,5.32
020631412,729,54,7.41
020631413,531,61,11.49
020631414,963,77,8.0
020631415,1085,68,6.27
020631501,615,104,16.91
020631502,915,172,18.8
020631503,1029,155,15.06
020631504,1060,124,11.7
020631505,987,151,15.3
020631506,1000,174,17.4
020631507,1030,170,16.5
020631508,921,120,13.03
020631509,923,129,13.98
020631510,714,126,17.65
020631511,1048,171,16.32
020631601,983,156,15.87
020631602,973,156,16.03
020631603,855,155,18.13
020631604,830,147,17.71
020631605,994,176,17.71
020631606,1106,216,19.53
020631607,1021,199,19.49
020631608,968,192,19.83
020631609,1155,217,18.79
020631610,785,146,18.6
020631611,586,110,18.77
020631612,659,120,18.21
020631613,758,138,18.21
020700101,615,134,21.79
020700102,886,178,20.09
020700103,938,187,19.94
020700104,681,138,20.26
020700105,845,147,17.4
020700106,850,171,20.12
020700107,827,178,21.52
020700108,1009,205,20.32
020700201,840,182,21.67
020700202,729,140,19.2
020700203,719,157,21.84
020700204,926,177,19.11
020700205,798,144,18.05
020700206,1147,199,17.35
020700207,1041,170,16.33
020700208,894,202,22.6
020700301,829,142,17.13
020700302,807,180,22.3
020700303,972,196,20.16
020700304,592,128,21.62
020700305,752,171,22.74
020700306,770,149,19.35
020700307,910,203,22.31
020700308,1050,189,18.0
020700401,1114,199,17.86
020700402,1275,250,19.61
020700403,902,208,23.06
020700404,1496,232,15.51
020700405,1039,207,19.92
020700406,665,150,22.56
020700407,1056,200,18.94
020700408,1017,187,18.39
020700409,778,158,20.31
020700501,703,152,21.62
020700502,729,125,17.15
020700503,1042,197,18.91
020700504,876,158,18.04
020700505,847,185,21.84
020700506,848,180,21.23
020700507,822,179,21.78
020700508,1108,194,17.51
020700509,801,178,22.22
020700510,874,183,20.94
020700511,818,156,19.07
020700512,790,191,24.18
020700513,761,172,22.6
020700514,768,153,19.92
020700601,689,125,18.14
020700602,746,164,21.98
020700603,956,184,19.25
020700604,835,157,18.8
020700605,1028,189,18.39
020700606,1042,192,18.43
020700607,768,159,20.7
020700608,1029,182,17.69
020700609,697,121,17.36
020700610,1333,242,18.15
020700611,847,191,22.55
020700612,726,196,27.0
020700613,1163,254,21.84
020700614,549,108,19.67
020700701,1388,265,19.09
020700702,1295,217,16.76
020700703,1164,220,18.9
020700704,1238,227,18.34
020700705,1181,190,16.09
020700706,943,196,20.78
020700707,1181,351,29.72
020700708,1029,200,19.44
020700709,1101,190,17.26
020700710,1110,183,16.49
020700801,1012,212,20.95
020700802,1180,211,17.88
020700803,729,154,21.12
020700804,1197,220,18.38
020700805,983,162,16.48
020700806,895,199,22.23
020700807,1192,196,16.44
020700808,1173,248,21.14
020700809,677,137,20.24
020700901,974,168,17.25
020700902,995,202,20.3
020700903,909,168,18.48
020700904,758,166,21.9
020700905,788,164,20.81
020700906,991,159,16.04
020700907,872,149,17.09
020700908,823,148,17.98
020700909,757,143,18.89
020700910,885,147,16.61
020701001,800,184,23.0
020701002,1053,180,17.09
020701003,894,141,15.77
020701004,738,168,22.76
020701005,908,167,18.39
020701006,928,168,18.1
020701007,758,154,20.32
020701008,937,194,20.7
020701009,960,170,17.71
020701010,750,142,18.93
020701011,814,128,15.72
020701012,858,165,19.23
020701101,908,165,18.17
020701102,933,197,21.11
020701103,1031,177,17.17
020701104,740,104,14.05
020701105,680,95,13.97
020701106,414,62,14.98
020701107,788,117,14.85
020701108,825,160,19.39
020701109,918,188,20.48
020701110,693,137,19.77
020701111,624,120,19.23
020701201,928,168,18.1
020701202,847,192,22.67
020701203,739,119,16.1
020701204,576,91,15.8
020701205,345,37,10.72
020701206,331,45,13.6
020701207,619,112,18.09
020701208,777,155,19.95
020701209,820,138,16.83
020701210,695,147,21.15
020701301,609,121,19.87
020701302,976,177,18.14
020701303,590,125,21.19
020701304,590,89,15.08
020701305,866,140,16.17
020701306,737,184,24.97
020701307,639,136,21.28
020701308,687,200,29.11
020701309,750,125,16.67
020701310,669,137,20.48
020701311,594,142,23.91
020701312,578,107,18.51
020701401,917,180,19.63
020701402,1083,180,16.62
020701403,987,119,12.06
020701404,906,194,21.41
020701405,686,178,25.95
020701406,573,111,19.37
020701407,865,144,16.65
020701408,644,128,19.88
020701409,863,153,17.73
020701410,1023,215,21.02
020701411,545,99,18.17
020701501,632,132,20.89
020701502,824,164,19.9
020701503,626,112,17.89
020701504,676,128,18.93
020701505,867,185,21.34
020701506,781,183,23.43
020701507,757,155,20.48
020701508,986,176,17.85
020701509,1099,263,23.93
020701601,816,146,17.89
020701602,1069,253,23.67
020701603,850,168,19.76
020701604,890,191,21.46
020701605,554,117,21.12
020701606,1166,248,21.27
020701607,794,147,18.51
020701608,1063,181,17.03
020701609,990,174,17.58
020701610,532,132,24.81
020701701,765,201,26.27
020701702,1037,202,19.48
020701703,1195,235,19.67
020701704,1137,184,16.18
020701705,1092,177,16.21
020701706,1158,213,18.39
020701707,963,154,15.99
020701708,718,145,20.19
020701709,663,131,19.76
020701710,907,145,15.99
020701801,837,150,17.92
020701802,849,157,18.49
020701803,766,130,16.97
020701804,1015,149,14.68
020701805,663,137,20.66
020701806,565,116,20.53
020701807,710,144,20.28
020701808,712,124,17.42
020701809,723,149,20.61
020701810,557,90,16.16
020701811,516,68,13.18
020701812,769,140,18.21
020701901,559,110,19.68
020701902,1287,230,17.87
020701903,835,108,12.93
020701904,872,169,19.38
020701905,938,186,19.83
020701906,1045,177,16.94
020701907,902,209,23.17
020701908,556,112,20.14
020701909,755,140,18.54
020701910,652,96,14.72
020701911,1103,193,17.5
020701912,1158,196,16.93
020701913,555,87,15.68
020770101,903,180,19.93
020770102,1059,188,17.75
020770103,827,131,15.84
020770104,952,141,14.81
020770105,643,104,16.17
020770106,841,168,19.98
020770107,896,136,15.18
020770108,997,159,15.95
020770109,515,107,20.78
020770110,676,120,17.75
020770111,1045,195,18.66
020770112,779,128,16.43
020770113,434,71,16.36
020770114,502,101,20.12
020770201,898,160,17.82
020770202,1338,256,19.13
020770203,873,137,15.69
020770204,705,128,18.16
020770205,1056,225,21.31
020770206,989,205,20.73
020770207,988,180,18.22
020770208,893,199,22.28
020770209,722,156,21.61
020770210,1021,210,20.57
020770211,722,145,20.08
020770301,707,201,28.43
020770302,766,207,27.02
020770303,736,156,21.2
020770304,572,138,24.13
020770305,867,205,23.64
020770306,730,192,26.3
020770307,874,206,23.57
020770308,734,164,22.34
020770309,820,184,22.44
020770310,686,165,24.05
020770311,895,215,24.02
020770312,716,105,14.66
020770401,756,142,18.78
020770402,749,140,18.69
020770403,630,127,20.16
020770404,811,228,28.11
020770405,733,195,26.6
020770406,639,128,20.03
020770407,677,152,22.45
020770408,984,194,19.72
020770409,1009,224,22.2
020770410,662,143,21.6
020770411,1021,165,16.16
020770412,936,218,23.29
020770413,780,161,20.64
020770501,724,151,20.86
020770502,803,153,19.05
020770503,792,143,18.06
020770504,686,157,22.89
020770505,901,186,20.64
020770506,869,183,21.06
020770507,774,162,20.93
020770508,860,174,20.23
020770509,814,154,18.92
020770510,732,189,25.82
020770601,845,163,19.29
020770602,1239,242,19.53
020770603,1203,234,19.45
020770604,1303,255,19.57
020770605,1273,236,18.54
020770606,1119,233,20.82
020770607,1093,166,15.19
020770608,965,216,22.38
020770609,875,151,17.26
020770610,621,93,14.98
020770611,919,154,16.76
020770701,518,96,18.53
020770702,987,180,18.24
020770703,881,179,20.32
020770704,1041,220,21.13
020770705,1055,177,16.78
020770706,1064,221,20.77
020770707,922,179,19.41
020770708,862,174,20.19
020770709,1065,197,18.5
020770710,1027,201,19.57
020770711,1077,221,20.52
020770712,929,195,20.99
020770801,873,140,16.04
020770802,911,177,19.43
020770803,591,157,26.57
020770804,709,177,24.96
020770805,775,181,23.35
020770806,1096,237,21.62
020770807,1102,249,22.6
020770808,1059,234,22.1
020770809,956,249,26.05
020770901,969,188,19.4
020770902,764,156,20.42
020770903,1040,206,19.81
020770904,620,145,23.39
020770905,755,162,21.46
020770906,691,148,21.42
020770907,713,148,20.76
020770908,752,197,26.2
020770909,604,111,18.38
020770910,932,164,17.6
020770911,664,183,27.56
020770912,753,177,23.51
020771001,893,187,20.94
020771002,1179,239,20.27
020771003,760,175,23.03
020771004,1025,237,23.12
020771005,1210,267,22.07
020771006,1355,266,19.63
020771007,1349,182,13.49
020771008,660,75,11.36
020771009,1166,189,16.21
020771010,920,124,13.48
020771011,742,116,15.63
020771101,832,141,16.95
020771102,1147,240,20.92
020771103,1050,168,16.0
020771104,328,65,19.82
020771105,1073,202,18.83
020771106,1019,204,20.02
020771107,920,157,17.07
020771108,947,165,17.42
020771109,749,149,19.89
020771201,863,175,20.28
020771202,743,136,18.3
020771203,1163,183,15.74
020771204,786,150,19.08
020771205,658,125,19.0
020771206,836,172,20.57
020771207,713,143,20.06
020771208,668,117,17.51
020771209,722,140,19.39
020771210,907,121,13.34
020771301,747,189,25.3
020771302,758,195,25.73
020771303,728,196,26.92
020771304,924,220,23.81
020771305,831,229,27.56
020771306,999,216,21.62
020771307,758,155,20.45
020771308,748,159,21.26
020771309,980,219,22.35
020771310,914,167,18.27
020771311,867,168,19.38
020771401,914,188,20.57
020771402,880,186,21.14
020771403,977,204,20.88
020771404,698,129,18.48
020771405,944,188,19.92
020771406,618,125,20.23
020771407,1445,336,23.25
020771408,794,126,15.87
020771501,1008,199,19.74
020771502,888,159,17.91
020771503,1049,216,20.59
020771504,999,184,18.42
020771505,819,169,20.63
020771506,665,153,23.01
020771507,733,158,21.56
020771508,864,181,20.95
020771509,990,226,22.83
020771510,917,210,22.9
020771511,1090,217,19.91
020771601,1005,184,18.31
020771602,545,96,17.61
020771603,838,158,18.85
020771604,743,158,21.27
020771605,1128,185,16.4
020771606,970,165,17.01
020771607,1084,196,18.08
020771608,1077,210,19.5
020771609,762,128,16.8
020771610,720,107,14.86
020771611,590,124,21.02
020771701,793,120,15.13
020771702,795,151,18.99
020771703,962,166,17.26
020771704,825,129,15.64
020771705,750,123,16.4
020771706,771,146,18.94
020771707,755,152,20.13
020771708,672,121,18.01
020771801,763,153,20.05
020771802,813,140,17.22
020771803,1119,168,15.01
020771804,1107,181,16.35
020771805,1075,179,16.65
020771806,852,154,18.08
020771807,758,147,19.39
020771808,727,109,14.99
020771809,630,106,16.83
020771810,1166,102,8.75
020771901,679,123,18.11
020771902,887,170,19.17
020771903,649,127,19.57
020771904,842,169,20.07
020771905,794,144,18.14
020771906,944,197,20.87
020771907,821,152,18.51
020771908,758,133,17.55
020771909,820,127,15.49
020772001,759,131,17.26
020772002,847,180,21.25
020772003,1340,187,13.96
020772004,986,167,16.94
020772005,906,166,18.32
020772006,636,158,24.84
020772007,804,128,15.92
020772008,542,70,12.92
020772009,829,137,16.53
020772010,786,156,19.85
