cod_radio,hogares_total,hogares_nbi,pct_nbi
020072003,345,6,1.74
020072004,335,36,10.75
020072005,407,12,2.95
020072006,302,36,11.92
020072007,258,7,2.71
020072008,349,41,11.75
020072009,288,32,11.11
020072010,378,61,16.14
020072101,238,28,11.76
020072102,374,36,9.63
020072103,377,78,20.69
020072104,556,222,39.93
020072105,364,76,20.88
020072106,322,63,19.57
020072107,375,77,20.53
020072108,251,23,9.16
020072109,350,27,7.71
020072110,433,52,12.01
020072201,407,5,1.23
020072202,422,17,4.03
020072203,380,57,15.0
020072204,249,21,8.43
020072205,241,11,4.56
020072206,283,22,7.77
020072207,329,14,4.26
020072208,350,95,27.14
020072209,491,48,9.78
020072210,706,47,6.66
020072301,378,9,2.38
020072302,258,4,1.55
020072303,436,74,16.97
020072304,140,18,12.86
020072305,236,26,11.02
020072306,253,3,1.19
020072307,231,32,13.85
020072308,294,11,3.74
020072309,431,4,0.93
020072310,146,30,20.55
020072401,147,5,3.4
020072402,358,9,2.51
020072403,277,3,1.08
020072404,202,22,10.89
020072405,193,13,6.74
020072406,494,9,1.82
020072407,487,23,4.72
020072408,231,14,6.06
020072501,221,15,6.79
020072502,211,6,2.84
020072503,254,4,1.57
020072504,432,2,0.46
020072505,312,25,8.01
020072506,287,55,19.16
020072507,239,7,2.93
020072508,396,28,7.07
020072509,236,6,2.54
020072510,227,13,5.73
020072511,256,9,3.52
020072601,180,32,17.78
020072602,343,9,2.62
020072603,263,6,2.28
020072604,287,5,1.74
020072605,592,28,4.73
020072606,200,1,0.5
020072607,330,8,2.42
020072608,303,4,1.32
020072609,401,9,2.24
020072701,200,11,5.5
020072702,332,137,41.27
020072703,276,69,25.0
020072704,303,128,42.24
020072705,238,25,10.5
020072706,343,131,38.19
020072707,242,79,32.64
020072708,439,88,20.05
020072709,324,89,27.47
020072710,260,24,9.23
020072801,172,19,11.05
020072802,319,116,36.36
020072803,226,64,28.32
020072804,300,77,25.67
020072805,359,22,6.13
020072806,332,120,36.14
020072807,268,46,17.16
020072808,130,17,13.08
020072809,449,114,25.39
020072810,414,86,20.77
020072811,340,210,61.76
020072812,227,66,29.07
020072813,323,138,42.72
020072901,476,145,30.46
020072902,323,176,54.49
020072903,316,73,23.1
020072904,301,47,15.61
020072905,494,154,31.17
020072906,337,57,16.91
020072907,315,30,9.52
